Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Farsø ,Erik Rabøl ,Jørgensen ,Lokalliste ,1978-1981 
Farsø ,Bernhard ,Nielsen-Man ,Venstre ,1982-1985 
Farsø ,Erik Rabøl ,Jørgensen ,Lokalliste ,1986-1989 
Farsø ,Jette ,Thomsen ,Det Konservative Folkeparti ,1990-1997 
Farsø ,Hans Olaf Agerup ,Kjeldsen ,Venstre ,1998-2006 
Farum ,Haakon Vitting ,Andersen ,Venstre ,1970-1974 
Farum ,Gøsta F. M. ,Gustavsen ,Socialdemokratiet ,1974-1985 
Farum ,Peter ,Brixtofte ,Venstre ,1986-2002 
Farum ,Lars ,Carpens ,Venstre ,2002-2006 
Favrskov ,Anders G. ,Christensen ,Venstre ,2007-2009 
Favrskov ,Nils ,Borring ,Socialdemokratiet ,2010- 
Faxe ,Ren√© ,Tuekær ,Lokalliste ,2007-2009 
Faxe ,Knud Erik ,Hansen ,Socialdemokratiet ,2010-2017 
Faxe ,Ole ,Vive ,Venstre ,2018- 
Fjends ,Egild ,Drengsgaaard ,Venstre ,1970-1981 
Fjends ,Søren ,Christensen ,Det Radikale Venstre ,1982-1993 
Fjends ,Svend Aage ,Jensen ,Venstre ,1994-2006 
Fjerritslev ,Einar ,Damsgaard ,Lokalliste ,1970-1974 
Fjerritslev ,Arne ,Simonsen ,Lokalliste ,1974-1985 
Fjerritslev ,Olav ,Larsen ,Lokalliste ,1986-1993 
Fjerritslev ,Johan ,Svaneborg ,Lokalliste ,1994-1997 
Fjerritslev ,Otto Kjær ,Larsen ,Venstre ,1998-2006 
Fladså ,Johannes ,Feldthusen ,Venstre ,1970-1981 
Fladså ,Ole ,Steffensen ,Venstre ,1982-2001 
Fladså ,Hans R. ,Hansen ,Venstre ,2002-2006 
Fredensborg ,Olav ,Aaen ,Venstre ,2007-2009 
Fredensborg ,Thomas Lykke ,Pedersen ,Socialdemokratiet ,2010- 
Fredensborg-Humlebæk ,Ole ,Retoft ,Socialdemokratiet ,1970-1978 
Fredensborg-Humlebæk ,Klaus ,Hækkerup ,Socialdemokratiet ,1978-1988 
Fredensborg-Humlebæk ,Svend Erik ,Christensen ,Socialdemokratiet ,1988-1997 
Fredensborg-Humlebæk ,John ,Hemming ,Det Konservative Folkeparti ,1998-2006 
Fredericia ,Richard ,Pedersen ,Socialdemokratiet ,1970-1981 
Fredericia ,Jørn Bent ,Nielsen ,Socialdemokratiet ,1982-1998 
Fredericia ,Uffe Steiner ,Jensen ,Socialdemokratiet ,1998-2009 
Fredericia ,Thomas ,Banke ,Venstre ,2010-2013 
Fredericia ,Kenny Bruun ,Olsen ,Venstre ,2013-2013 
Fredericia ,Jacob ,Bjerregaard ,Socialdemokratiet ,2014- 
Frederiksberg ,Arne Stæhr ,Johansen ,Det Konservative Folkeparti ,1970-1978 
Frederiksberg ,John ,Winther ,Det Konservative Folkeparti ,1978-2001 
Frederiksberg ,Mads ,Lebech ,Det Konservative Folkeparti ,2001-2009 
Frederiksberg ,Jørgen ,Glenthøj ,Det Konservative Folkeparti ,2009- 
Frederikshavn ,Villy ,Christensen ,Socialdemokratiet ,1970-1985 
Frederikshavn ,Ove ,Christensen ,Socialdemokratiet ,1986-1993 
Frederikshavn ,Jens Christian ,Larsen ,Venstre ,1994-1997 
Frederikshavn ,Erik ,Sørensen ,Socialdemokratiet ,1998-2006 
Frederikshavn ,Erik ,Sørensen ,Socialdemokratiet ,2007-2009 
Frederikshavn ,Lars ,Møller ,Venstre ,2010-2013 
Frederikshavn ,Birgit Stenbak ,Hansen ,Socialdemokratiet ,2014- 
Frederikssund ,Jørgen ,Christiansen ,Socialdemokratiet ,1970-1981 
Frederikssund ,Hans ,Weirum ,Det Konservative Folkeparti ,1982-1985 
Frederikssund ,Jørgen ,Christiansen ,Socialdemokratiet ,1986-1993 
Frederikssund ,Knud B. ,Christoffersen ,Socialdemokratiet ,1994-2006 
Frederikssund ,Ole Find ,Jensen ,Socialdemokratiet ,2007-2013 
Frederikssund ,John S. ,Andersen ,Venstre ,2014- 
Frederiksværk ,Knud ,Glamming ,Socialdemokratiet ,1970-1978 
Frederiksværk ,Frode ,Behrndtz ,Socialdemokratiet ,1978-1981 
Frederiksværk ,Kirsten ,Ebbensgaard ,Det Konservative Folkeparti ,1982-1985 
Frederiksværk ,Frode ,Behrndtz ,Socialdemokratiet ,1986-1996 
Frederiksværk ,H.C. ,Mønsted ,Venstre ,1996-1997 
Frederiksværk ,Helge ,Friis ,Socialdemokratiet ,1998-2006 
Fuglebjerg ,Georg ,Hansen ,Det Konservative Folkeparti ,1970-1974 
Fuglebjerg ,Jens Christian ,Pedersen ,Venstre ,1974-1985 
Fuglebjerg ,Poul Tage ,Jensen ,Det Konservative Folkeparti ,1986-1987 
Fuglebjerg ,Sigfred ,Jacobsen ,Venstre ,1987-1997 
Fuglebjerg ,Henrik ,Willadsen ,Venstre ,1998-2006 
Furesø ,Jesper ,Bach ,Venstre ,2007-2009 
Furesø ,Ole Bondo ,Christensen ,Socialdemokratiet ,2010- 
Fåborg ,Alf ,Toftager ,Det Konservative Folkeparti ,1970-1978 
Fåborg ,Richard ,Hansen ,Socialdemokratiet ,1978-1993 
Fåborg ,Ove K. ,Pedersen ,Socialdemokratiet ,1994-1997 
Fåborg ,Alfred ,Andersen ,Det Radikale Venstre ,1998-2001 
Fåborg ,Britta ,Duelund ,Socialdemokratiet ,2002-2006 
Faaborg-Midtfyn ,Bo ,Andersen ,Venstre ,2007-2009 
Faaborg-Midtfyn ,Hans ,Jørgensen ,Socialdemokratiet ,2010-2013 
Faaborg-Midtfyn ,Christian ,Thygesen ,Venstre ,2014-2017 
Faaborg-Midtfyn ,Hans ,Stavnsager ,Socialdemokratiet ,2018- 
Galten ,Regner ,Grønlund ,Venstre ,1970-1978 
Galten ,Knud ,Hegelund ,Venstre ,1978-1981 
Galten ,Kurt ,Christensen ,Venstre ,1982-1989 
Galten ,Leif ,Jensen ,Socialdemokratiet ,1990-1997 
Galten ,Jens ,Grønlund ,Venstre ,1998-2006 
Gedved ,Mogens ,Heilesen ,Venstre ,1970-1985 
Gedved ,Eigil Winther ,Rasmussen ,Venstre ,1986-2006 
Gentofte ,Jørgen ,Gotfredsen ,Det Konservative Folkeparti ,1970-1984 
Gentofte ,Birthe ,Philip ,Det Konservative Folkeparti ,1984-1993 
Gentofte ,Hans ,Toft ,Det Konservative Folkeparti ,1993- 
Give ,Anders Klarskov ,Jensen ,Venstre ,1970-1978 
Give ,Curt ,Nielsen ,Lokalliste ,1978-1997 
Give ,Villy Dahl ,Johansen ,Lokalliste ,1998-2006 
Gjern ,Laurits ,Madsen ,Lokalliste ,1970-1974 
Gjern ,Ejvind Brøndum ,Nielsen ,Venstre ,1974-1985 
